E,R,ops,bits,ops_per_bit
0.001,1e-06,6.036760722267446e+30,2.8671970660500896e+17,21054572054873.832
0.001,0.0001,6.036760722267446e+30,2.8671970660500898e+19,210545720548.7383
0.001,0.01,6.036760722267446e+30,2.86719706605009e+21,2105457205.4873834
0.001,1.0,6.036760722267446e+30,2.8671970660500896e+23,21054572.054873835
0.001,10.0,6.036760722267446e+30,2.86719706605009e+24,2105457.205487383
1.0,1e-06,6.036760722267447e+33,2.8671970660500895e+20,21054572054873.836
1.0,0.0001,6.036760722267447e+33,2.8671970660500896e+22,210545720548.73837
1.0,0.01,6.036760722267447e+33,2.86719706605009e+24,2105457205.4873834
1.0,1.0,6.036760722267447e+33,2.8671970660500895e+26,21054572.054873835
1.0,10.0,6.036760722267447e+33,2.8671970660500895e+27,2105457.2054873835
1000.0,1e-06,6.036760722267446e+36,2.8671970660500892e+23,21054572054873.836
1000.0,0.0001,6.036760722267446e+36,2.8671970660500895e+25,210545720548.73834
1000.0,0.01,6.036760722267446e+36,2.86719706605009e+27,2105457205.4873831
1000.0,1.0,6.036760722267446e+36,2.8671970660500895e+29,21054572.054873835
1000.0,10.0,6.036760722267446e+36,2.8671970660500894e+30,2105457.2054873835
1000000.0,1e-06,6.036760722267446e+39,2.8671970660500895e+26,21054572054873.836
1000000.0,0.0001,6.036760722267446e+39,2.8671970660500897e+28,210545720548.73834
1000000.0,0.01,6.036760722267446e+39,2.86719706605009e+30,2105457205.4873831
1000000.0,1.0,6.036760722267446e+39,2.8671970660500896e+32,21054572.054873835
1000000.0,10.0,6.036760722267446e+39,2.86719706605009e+33,2105457.205487383
